"";"Time";"exp";"insp";"idx"
"1166";2406,781;1;0;80
"1";2408,452;0;1;196
"1167";2409,604;1;0;276
"2";2410,971;0;1;371
"1168";2412,366;1;0;468
"3";2413,768;0;1;565
"1169";2416,055;1;0;724
"4";2418,347;0;1;883
"1170";2419,645;1;0;973
"5";2421,505;0;1;1102
"1171";2423,375;1;0;1232
"6";2425,375;0;1;1371
"1172";2427,634;1;0;1528
"7";2429,712;0;1;1672
"1173";2431,152;1;0;1772
"8";2433,583;0;1;1941
"1174";2434,781;1;0;2024
"9";2436,023;0;1;2110
"1175";2436,872;1;0;2169
"10";2438,123;0;1;2256
"1176";2439,952;1;0;2383
"11";2442,26;0;1;2543
"1177";2443,082;1;0;2600
"12";2444,378;0;1;2690
"1178";2445,675;1;0;2780
"13";2446,985;0;1;2871
"1179";2448,441;1;0;2972
"14";2449,191;0;1;3024
"1180";2450,447;1;0;3111
"15";2452;0;1;3219
"1181";2453,151;1;0;3299
"16";2454,344;0;1;3382
"1182";2455,542;1;0;3465
"17";2456,807;0;1;3553
"1183";2458,337;1;0;3659
"18";2459,675;0;1;3752
"1184";2460,813;1;0;3831
"19";2462,022;0;1;3915
"1185";2463,392;1;0;4010
"20";2464,835;0;1;4110
"1186";2466,361;1;0;4216
"21";2468,404;0;1;4358
"1187";2469,73;1;0;4450
"22";2471,04;0;1;4541
"1188";2472,499;1;0;4642
"23";2473,94;0;1;4742
"1189";2475,278;1;0;4835
"24";2476,589;0;1;4926
"1190";2478,101;1;0;5031
"25";2479,559;0;1;5132
"1191";2480,828;1;0;5220
"26";2482,18;0;1;5314
"1192";2483,524;1;0;5407
"27";2484,849;0;1;5499
"1193";2486,205;1;0;5593
"28";2487,447;0;1;5679
"1194";2488,552;1;0;5756
"29";2489,823;0;1;5844
"1195";2490,99;1;0;5925
"30";2491,97;0;1;5993
"1196";2493,228;1;0;6080
"31";2494,423;0;1;6163
"1197";2495,775;1;0;6257
"32";2496,582;0;1;6313
"1198";2497,519;1;0;6378
"33";2498,63;0;1;6455
"1199";2499,666;1;0;6527
"34";2500,62;0;1;6593
"1200";2501,269;1;0;6638
"35";2502,393;0;1;6716
"1201";2503,471;1;0;6791
"36";2503,905;0;1;6821
