"";"x"
"1";2386,393
"2";2386,812
"3";2387,158
"4";2387,428
"5";2387,833
"6";2388,282
"7";2388,483
"8";2389,028
"9";2389,489
"10";2390,006
"11";2390,239
"12";2390,696
"13";2391,087
"14";2391,474
"15";2391,735
"16";2392,322
"17";2392,97
"18";2393,378
"19";2393,607
"20";2393,966
"21";2394,371
"22";2394,688
"23";2395,089
"24";2395,578
"25";2396,053
"26";2396,426
"27";2396,701
"28";2397,306
"29";2397,679
"30";2397,926
"31";2398,257
"32";2398,615
"33";2399,045
"34";2399,492
"35";2399,725
"36";2400,14
"37";2400,575
"38";2401,036
"39";2401,437
"40";2401,968
"41";2402,173
"42";2402,644
"43";2402,979
"44";2403,511
"45";2403,753
"46";2404,258
"47";2404,776
"48";2405,265
"49";2405,787
"50";2406,347
"51";2406,691
"52";2406,994
"53";2407,368
"54";2407,873
"55";2408,12
"56";2408,437
"57";2408,81
"58";2409,141
"59";2409,547
"60";2409,962
"61";2410,335
"62";2410,712
"63";2411,057
"64";2411,374
"65";2411,878
"66";2412,568
"67";2413,001
"68";2413,505
"69";2413,962
"70";2414,555
"71";2414,831
"72";2415,281
"73";2415,77
"74";2416,186
"75";2416,675
"76";2417,178
"77";2417,654
"78";2418,158
"79";2418,661
"80";2419,137
"81";2419,57
"82";2420,103
"83";2420,606
"84";2421,095
"85";2421,571
"86";2422,047
"87";2422,538
"88";2423,028
"89";2423,517
"90";2424,049
"91";2424,511
"92";2425,001
"93";2425,506
"94";2425,996
"95";2426,485
"96";2426,975
"97";2427,464
"98";2427,954
"99";2428,458
"100";2428,947
"101";2429,453
"102";2429,943
"103";2430,447
"104";2430,937
"105";2431,426
"106";2431,93
"107";2432,42
"108";2432,938
"109";2433,413
"110";2433,903
"111";2434,393
"112";2434,91
"113";2435,373
"114";2435,891
"115";2436,381
"116";2436,861
"117";2437,365
"118";2437,855
"119";2438,344
"120";2438,834
"121";2439,323
"122";2439,827
"123";2440,316
"124";2440,819
"125";2441,31
"126";2441,799
"127";2442,289
"128";2442,793
"129";2443,264
"130";2443,773
"131";2444,277
"132";2444,766
"133";2445,256
"134";2445,76
"135";2446,252
"136";2446,728
"137";2447,217
"138";2447,707
"139";2448,197
"140";2448,686
"141";2449,176
"142";2449,68
"143";2450,17
"144";2450,66
"145";2451,152
"146";2451,656
"147";2452,146
"148";2452,65
"149";2453,139
"150";2453,629
"151";2454,132
"152";2454,65
"153";2455,126
"154";2455,629
"155";2456,119
"156";2456,639
"157";2457,115
"158";2457,577
"159";2458,109
"160";2458,573
"161";2459,063
"162";2459,566
"163";2460,056
"164";2460,546
"165";2461,021
"166";2461,553
"167";2462,015
"168";2462,505
"169";2462,995
"170";2463,499
"171";2464,003
"172";2464,492
"173";2464,982
"174";2465,488
"175";2465,963
"176";2466,467
"177";2466,958
"178";2467,449
"179";2467,953
"180";2468,442
"181";2468,933
"182";2469,423
"183";2469,912
"184";2470,416
"185";2470,891
"186";2471,394
"187";2471,898
"188";2472,403
"189";2472,867
"190";2473,356
"191";2473,845
"192";2474,32
"193";2474,94
"194";2475,256
"195";2475,573
"196";2475,904
"197";2476,221
"198";2476,58
"199";2476,883
"200";2477,228
"201";2477,484
"202";2477,877
"203";2478,148
"204";2478,507
"205";2478,768
"206";2479,141
"207";2479,388
"208";2479,796
"209";2480,053
"210";2480,355
"211";2480,659
"212";2481,06
"213";2481,377
"214";2481,708
"215";2481,997
"216";2482,37
"217";2482,645
"218";2483,032
"219";2483,681
"220";2484,012
"221";2484,343
"222";2484,604
"223";2485,005
"224";2485,336
"225";2485,681
"226";2485,984
"227";2486,358
"228";2486,689
"229";2487,025
"230";2487,371
"231";2487,716
"232";2488,048
"233";2488,38
"234";2488,683
"235";2489,071
"236";2489,388
"237";2489,733
"238";2490,05
"239";2490,409
"240";2490,74
"241";2491,085
"242";2491,375
"243";2491,767
"244";2492,097
"245";2492,429
"246";2492,746
"247";2493,091
"248";2493,422
"249";2493,754
"250";2494,085
"251";2494,419
"252";2494,721
"253";2495,081
"254";2495,37
"255";2495,743
"256";2496,074
"257";2496,405
"258";2496,722
"259";2497,067
"260";2497,398
"261";2497,743
"262";2498,061
"263";2498,406
"264";2498,738
"265";2499,07
"266";2499,401
"267";2499,746
"268";2500,077
"269";2500,408
"270";2500,711
"271";2501,085
"272";2501,394
"273";2501,753
"274";2502,07
"275";2502,415
"276";2502,718
"277";2503,077
"278";2503,38
"279";2503,753
"280";2504,056
"281";2504,415
"282";2504,718
"283";2505,077
"284";2505,421
"285";2505,738
"286";2506,055
"287";2506,4
"288";2506,731
"289";2507,076
"290";2507,407
"291";2507,738
"292";2508,069
"293";2508,428
"294";2508,718
"295";2509,096
"296";2509,414
"297";2509,745
"298";2510,058
"299";2510,42
"300";2510,751
"301";2511,082
"302";2511,339
"303";2511,744
"304";2511,987
"305";2512,406
"306";2512,709
"307";2513,068
"308";2513,385
"309";2513,744
"310";2513,986
"311";2514,405
"312";2514,695
"313";2515,068
"314";2515,357
"315";2515,744
"316";2516,007
"317";2516,394
"318";2516,725
"319";2517,056
"320";2517,387
"321";2517,718
"322";2518,035
"323";2518,394
"324";2518,711
"325";2519,056
