"";"x"
"1";1082,8825
"2";1083,40581
"3";1083,86688
"4";1084,42144
"5";1084,99188
"6";1085,51519
"7";1086,01531
"8";1086,60894
"9";1087,11688
"10";1087,67144
"11";1088,21844
"12";1088,75738
"13";1089,30438
"14";1089,88238
"15";1090,39813
"16";1090,93706
"17";1091,46844
"18";1092,03081
"19";1092,57
"20";1093,0855
"21";1093,61688
"22";1094,16363
"23";1094,71063
"24";1095,24175
"25";1095,76531
"26";1096,31988
"27";1096,85906
"28";1097,39019
"29";1097,945
"30";1098,48394
"31";1099,01531
"32";1099,56988
"33";1100,11688
"34";1100,66363
"35";1101,21844
"36";1101,76519
"37";1102,31219
"38";1102,86675
"39";1103,40594
"40";1103,9605
"41";1104,48406
"42";1105,03863
"43";1105,56219
"44";1106,11675
"45";1106,65594
"46";1107,23394
"47";1107,78875
"48";1108,34331
"49";1108,89813
"50";1109,43706
"51";1109,98406
"52";1110,51519
"53";1111,07
"54";1111,60894
"55";1112,15594
"56";1112,71831
"57";1113,21063
"58";1113,74956
"59";1114,32
"60";1114,85113
"61";1115,41375
"62";1115,95269
"63";1116,5075
"64";1117,03863
"65";1117,59344
"66";1118,11675
"67";1118,67156
"68";1119,2105
"69";1119,76531
"70";1120,30425
"71";1120,84344
"72";1121,38238
"73";1121,92938
"74";1122,4605
"75";1123,01531
"76";1123,56206
"77";1124,09344
"78";1124,64019
"79";1125,195
"80";1125,74956
"81";1126,29656
"82";1126,84331
"83";1127,3825
"84";1127,92144
"85";1128,48406
"86";1129,01519
"87";1129,56219
"88";1130,10113
"89";1130,67156
"90";1131,21831
"91";1131,7575
"92";1132,29644
"93";1132,84344
"94";1133,38238
"95";1133,91375
"96";1134,4605
"97";1135,01531
"98";1135,55425
"99";1136,07781
"100";1136,64019
"101";1137,18719
"102";1137,72613
"103";1138,26531
"104";1138,79644
"105";1139,34344
"106";1139,88238
"107";1140,43719
"108";1140,97613
"109";1141,49969
"110";1142,00738
"111";1142,51531
"112";1142,96831
"113";1143,36688
"114";1143,76519
"115";1144,1325
"116";1144,4605
"117";1144,83563
"118";1145,22613
"119";1145,57781
"120";1145,93706
"121";1146,32
"122";1146,67144
"123";1147,05438
"124";1147,41363
"125";1147,79656
"126";1148,14019
"127";1148,52313
"128";1148,88238
"129";1149,2575
"130";1149,60894
"131";1149,99188
"132";1150,35113
"133";1150,72625
"134";1151,0855
"135";1151,42938
"136";1151,80425
"137";1152,17156
"138";1152,53081
"139";1152,89813
"140";1153,25738
"141";1153,61688
"142";1153,98394
"143";1154,34344
"144";1154,70269
"145";1155,07
"146";1155,42925
"147";1155,80438
"148";1156,17144
"149";1156,53875
"150";1156,898
"151";1157,26531
"152";1157,63238
"153";1158,0075
"154";1158,35894
"155";1158,73406
"156";1159,07769
"157";1159,445
"158";1159,81988
"159";1160,18719
"160";1160,523
"161";1160,89031
"162";1161,25738
"163";1161,62469
"164";1161,99175
"165";1162,33563
"166";1162,71831
"167";1163,08563
"168";1163,45269
"169";1163,82
"170";1164,18706
"171";1164,56219
"172";1164,92925
"173";1165,29656
"174";1165,65581
"175";1166,03094
"176";1166,398
"177";1166,76531
"178";1167,148
"179";1167,51531
"180";1167,89019
"181";1168,2575
"182";1168,62456
"183";1168,99969
"184";1169,36675
"185";1169,73406
"186";1170,10894
"187";1170,48406
"188";1170,84331
"189";1171,21844
"190";1171,5855
"191";1171,95281
"192";1172,32769
"193";1172,695
"194";1173,07769
"195";1173,45281
"196";1173,81988
"197";1174,195
"198";1174,56206
"199";1174,92938
"200";1175,29644
"201";1175,66375
"202";1176,03863
"203";1176,42156
"204";1176,78863
"205";1177,17156
"206";1177,53081
"207";1177,90594
"208";1178,26519
"209";1178,64031
"210";1178,99956
"211";1179,39031
"212";1179,76519
"213";1180,1325
"214";1180,50738
"215";1180,87469
"216";1181,24175
"217";1181,60906
"218";1181,97613
"219";1182,35906
"220";1182,7105
"221";1183,08563
"222";1183,44488
"223";1183,81219
"224";1184,17925
"225";1184,54656
"226";1184,92144
"227";1185,28875
"228";1185,65581
"229";1186,03875
"230";1186,398
"231";1186,77313
"232";1187,12456
"233";1187,49188
"234";1187,85113
"235";1188,22625
"236";1188,59331
"237";1188,97625
"238";1189,34331
"239";1189,71844
"240";1190,0855
"241";1190,45281
"242";1190,82769
"243";1191,20281
"244";1191,56988
"245";1191,945
"246";1192,31988
"247";1192,70281
"248";1193,07769
"249";1193,49188
"250";1193,81206
"251";1194,195
"252";1194,56206
"253";1194,92938
"254";1195,29644
"255";1195,67938
"256";1196,03081
"257";1196,40594
"258";1196,773
"259";1197,14813
"260";1197,50738
"261";1197,8825
"262";1198,24175
"263";1198,60906
"264";1198,98394
"265";1199,35906
"266";1199,71831
"267";1200,09344
"268";1200,45269
"269";1200,81219
"270";1201,18706
"271";1201,54656
"272";1201,92925
"273";1202,29656
"274";1202,65581
"275";1203,03094
"276";1203,398
"277";1203,7575
"278";1204,12456
"279";1204,49969
"280";1204,86675
"281";1205,22625
"282";1205,5855
"283";1205,96844
"284";1206,32769
"285";1206,695
"286";1207,06206
"287";1207,42938
"288";1207,78863
"289";1208,16375
"290";1208,53081
"291";1208,89813
"292";1209,24956
"293";1209,62469
"294";1209,98394
"295";1210,34344
"296";1210,7105
"297";1211,07781
"298";1211,42925
"299";1211,78875
"300";1212,14019
"301";1212,51531
"302";1212,87456
"303";1213,24969
"304";1213,59331
"305";1213,96063
"306";1214,31988
"307";1214,695
"308";1215,04644
"309";1215,42938
"310";1215,78081
"311";1216,14813
"312";1216,49956
"313";1216,85906
"314";1217,22613
"315";1217,60906
"316";1217,9605
"317";1218,32
"318";1218,67925
"319";1219,04656
"320";1219,40581
"321";1219,76531
"322";1220,14019
"323";1220,5075
"324";1220,87456
"325";1221,24969
"326";1221,60894
"327";1221,98406
"328";1222,35113
"329";1222,71844
"330";1223,06988
"331";1223,445
"332";1223,81988
"333";1224,18719
"334";1224,55425
"335";1224,92938
"336";1225,30425
"337";1225,66375
"338";1226,03863
"339";1226,42156
"340";1226,78081
"341";1227,15594
"342";1227,51519
"343";1227,89031
"344";1228,25738
"345";1228,62469
"346";1228,98394
"347";1229,35125
"348";1229,71831
"349";1230,07781
"350";1230,43706
"351";1230,82
"352";1231,17925
"353";1231,54656
"354";1231,898
"355";1232,26531
"356";1232,64019
"357";1233,0075
"358";1233,38238
"359";1233,74969
"360";1234,10113
"361";1234,48406
"362";1234,84331
"363";1235,21844
"364";1235,57769
"365";1235,96063
"366";1236,32769
"367";1236,71063
"368";1237,07769
"369";1237,445
"370";1237,80425
"371";1238,18719
"372";1238,54644
"373";1238,91375
"374";1239,28081
"375";1239,65594
"376";1240,01519
"377";1240,3825
"378";1240,74175
"379";1241,11688
"380";1241,48394
"381";1241,85125
"382";1242,20269
"383";1242,58563
"384";1242,93706
"385";1243,31219
"386";1243,68706
"387";1244,05438
"388";1244,42144
"389";1244,78875
"390";1245,15581
"391";1245,53875
"392";1245,91363
"393";1246,28094
"394";1246,64019
"395";1247,01531
"396";1247,38238
"397";1247,7575
"398";1248,12456
"399";1248,49969
"400";1248,86675
"401";1249,24188
"402";1249,60113
"403";1249,98406
"404";1250,34331
"405";1250,73406
"406";1251,09331
"407";1251,46844
"408";1251,82769
"409";1252,20281
"410";1252,56206
"411";1252,945
"412";1253,31206
"413";1253,68719
"414";1254,04644
"415";1254,43719
"416";1254,80425
"417";1255,17156
"418";1255,53863
"419";1255,90594
"420";1256,273
"421";1256,64813
"422";1257,00738
"423";1257,3825
"424";1257,74175
"425";1258,12469
"426";1258,48394
"427";1258,85906
"428";1259,21831
"429";1259,59344
"430";1259,95269
"431";1260,32
"432";1260,67925
"433";1261,05438
"434";1261,41363
"435";1261,78875
"436";1262,14019
"437";1262,52313
"438";1262,88238
"439";1263,26531
"440";1263,63238
"441";1263,99969
"442";1264,36675
"443";1264,73406
"444";1265,09331
"445";1265,46844
"446";1265,82769
"447";1266,20281
"448";1266,56988
"449";1266,93719
"450";1267,29644
"451";1267,67938
"452";1268,03081
"453";1268,42156
"454";1268,78081
"455";1269,15594
"456";1269,523
"457";1269,89031
"458";1270,25738
"459";1270,62469
"460";1271,00738
"461";1271,39031
"462";1271,76519
"463";1272,14813
"464";1272,51519
"465";1272,89813
"466";1273,273
"467";1273,65594
"468";1274,023
"469";1274,39813
"470";1274,773
"471";1275,15594
"472";1275,50738
"473";1275,89031
"474";1276,24956
"475";1276,62469
"476";1277,03863
"477";1277,35906
"478";1277,72613
"479";1278,10125
"480";1278,4605
"481";1278,83563
"482";1279,20269
"483";1279,57781
"484";1279,94488
"485";1280,32
"486";1280,67925
"487";1281,05438
"488";1281,41363
"489";1281,78875
"490";1282,148
"491";1282,53094
"492";1282,87456
"493";1283,2575
"494";1283,60894
"495";1283,97625
"496";1284,3355
"497";1284,71063
"498";1285,06988
"499";1285,445
"500";1285,79644
"501";1286,17938
"502";1286,55425
"503";1286,91375
"504";1287,273
"505";1287,64813
"506";1288,00738
"507";1288,37469
"508";1288,74175
"509";1289,11688
"510";1289,48394
"511";1289,86688
"512";1290,24175
"513";1290,60906
"514";1290,96831
"515";1291,34344
"516";1291,70269
"517";1292,07
"518";1292,42925
"519";1292,80438
"520";1293,16363
"521";1293,53875
"522";1293,89019
"523";1294,27313
"524";1294,63238
"525";1295,0075
"526";1295,37456
"527";1295,74969
"528";1296,10894
"529";1296,48406
"530";1296,84331
"531";1297,22625
"532";1297,57769
"533";1297,945
"534";1298,30425
"535";1298,67938
"536";1299,04644
"537";1299,41375
"538";1299,773
"539";1300,14813
"540";1300,50738
"541";1300,8825
"542";1301,24175
"543";1301,61688
"544";1301,98394
"545";1302,35125
"546";1302,7105
"547";1303,08563
"548";1303,44488
"549";1303,81219
"550";1304,17925
"551";1304,57
"552";1304,91363
"553";1305,28094
"554";1305,64019
"555";1306,02313
"556";1306,37456
"557";1306,7575
"558";1307,10894
"559";1307,48406
"560";1307,84331
"561";1308,21063
"562";1308,56988
"563";1308,945
"564";1309,31206
"565";1309,67938
"566";1310,03863
"567";1310,41375
"568";1310,78081
"569";1311,15594
"570";1311,51519
"571";1311,89813
"572";1312,24956
"573";1312,6325
"574";1312,99175
"575";1313,37469
"576";1313,73394
"577";1314,09344
"578";1314,45269
"579";1314,83563
"580";1315,19488
"581";1315,57
"582";1315,92925
"583";1316,32
"584";1316,66363
"585";1317,04656
"586";1317,40581
"587";1317,78094
"588";1318,14019
"589";1318,51531
"590";1318,89019
"591";1319,27313
"592";1319,62456
"593";1319,99969
"594";1320,36675
"595";1320,74969
"596";1321,10894
"597";1321,48406
"598";1321,898
"599";1322,21844
"600";1322,5855
"601";1322,95281
"602";1323,30425
"603";1323,67156
"604";1324,03863
"605";1324,41375
"606";1324,773
"607";1325,14813
"608";1325,49956
"609";1325,8825
"610";1326,23394
"611";1326,60125
"612";1326,9605
"613";1327,33563
"614";1327,69488
"615";1328,06219
"616";1328,42144
"617";1328,79656
"618";1329,15581
"619";1329,52313
"620";1329,88238
"621";1330,24969
"622";1330,61675
"623";1330,98406
"624";1331,34331
"625";1331,71063
"626";1332,06988
"627";1332,43719
"628";1332,79644
"629";1333,16375
"630";1333,523
"631";1333,945
"632";1334,24956
"633";1334,62469
"634";1334,97613
"635";1335,35906
"636";1335,71831
"637";1336,07781
"638";1336,43706
"639";1336,79656
"640";1337,16363
"641";1337,53094
"642";1337,898
