,sps_hat,td_hat,rmse,mae,is_unsuccessfull,is_successfull
P04_SportsSRS_FlowReversals_RUNS_MERGED.csv,1.0211987,48.995544,75.10272,50.210102,True,False
P05_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9930263,2.3001747,4.198461,0.37201416,False,True
P06_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9932484,2.0002267,0.047160793,0.027739191,False,True
P07_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9928067,2.55,5.328121,0.44013605,False,True
P08_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.99404824,2.349523,0.5255664,0.098119,False,True
P09_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.99605066,1.4999607,1.5018698,0.17821631,False,True
P10_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9947949,2.1,0.037668582,0.012162176,False,True
P11_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9947572,2.2673054,6.745782,0.91936576,False,True
P12_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.993385,1.7503706,0.030865824,0.018793795,False,True
P13_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9936058,2.400661,0.3392284,0.049265217,False,True
P14_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.99414665,1.9999985,0.095385455,0.018711679,False,True
P15_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.99297893,2.7003005,0.046523187,0.032514863,False,True
P16_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9947188,1.7626523,6.634016,0.6327419,False,True
P18_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9943208,1.8,3.1609466,1.2183334,True,False
P19_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.99451756,1.9499857,0.083896376,0.038635686,False,True
P20_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9932287,1.7002912,0.024852054,0.012818638,False,True
P21_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9933845,2.299998,2.2490835,0.19969589,False,True
P22_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9967259,1.9305825,0.09069501,0.07675517,False,True
P23_SportsSRS_FlowReversals_RUNS_MERGED.csv,0.9934608,1.9472142,6.8374147,0.67705667,False,True
