,sps_hat,td_hat,rmse,mae,is_unsuccessfull,is_successfull
P04_SportsSRS_Strides_RUNS_MERGED.csv,0.99341476,22.244804,6.9757915,1.9689441,False,True
P05_SportsSRS_Strides_RUNS_MERGED.csv,1.0053381,33.149994,36.80071,16.185162,True,False
P06_SportsSRS_Strides_RUNS_MERGED.csv,0.98425066,44.25,1.5148822e-14,1.2918959e-14,False,True
P07_SportsSRS_Strides_RUNS_MERGED.csv,0.99338746,18.563307,1.9183329,1.5092094,False,True
P08_SportsSRS_Strides_RUNS_MERGED.csv,0.9939383,13.650653,8.626609,1.197902,False,True
P09_SportsSRS_Strides_RUNS_MERGED.csv,0.9914748,-14.949994,0.6747575,0.23770988,False,True
P10_SportsSRS_Strides_RUNS_MERGED.csv,0.99501365,12.050683,10.854025,1.971332,False,True
P11_SportsSRS_Strides_RUNS_MERGED.csv,0.9948926,11.5,5.2432446,1.1451559,False,True
P12_SportsSRS_Strides_RUNS_MERGED.csv,0.9928038,13.950156,2.2168252,1.3199707,False,True
P13_SportsSRS_Strides_RUNS_MERGED.csv,0.9936854,19.901012,7.918957,1.6592087,False,True
P14_SportsSRS_Strides_RUNS_MERGED.csv,0.9919291,29.549995,25.826088,8.370731,True,False
P15_SportsSRS_Strides_RUNS_MERGED.csv,0.99045587,16.299946,8.60052,3.583753,True,False
P16_SportsSRS_Strides_RUNS_MERGED.csv,0.9948345,8.453887,9.760225,1.8070174,False,True
P18_SportsSRS_Strides_RUNS_MERGED.csv,0.99472994,13.919101,4.2424145,1.0416967,False,True
P19_SportsSRS_Strides_RUNS_MERGED.csv,0.9955356,12.865527,5.44151,1.895724,False,True
P20_SportsSRS_Strides_RUNS_MERGED.csv,0.98047376,-5.7500005,27.224997,12.413051,True,False
P21_SportsSRS_Strides_RUNS_MERGED.csv,0.99649966,11.90799,3.1853545,1.748982,False,True
P22_SportsSRS_Strides_RUNS_MERGED.csv,0.99408466,7.399986,5.8585587,3.3762033,True,False
P23_SportsSRS_Strides_RUNS_MERGED.csv,0.9929765,31.239136,1.205146,1.0044531,False,True
